LocationID,Category,AADT,AADT_Year,Latitude,Longitude
53000067,CC,321,2019,35.710629,-84.475228
53000068,CC,13029,2019,35.750011,-84.215566
53000069,CC,45826,2019,35.717625,-84.410425
53000070,CC,54064,2019,35.762938,-84.365221
53000071,CC,56236,2019,35.791029,-84.329745
53000072,CC,615,2019,35.694235,-84.437466
53000073,CC,12210,2019,35.729896,-84.383248
53000074,CC,2609,2019,35.721612,-84.360109
53000075,CC,13051,2019,35.718658,-84.359318
53000077,CC,13096,2019,35.736563,-84.179884
53000079,CC,1686,2019,35.719292,-84.313265
53000080,CC,594,2019,35.67848,-84.161336
53000081,CC,710,2019,35.804979,-84.357059
53000082,CC,4898,2019,35.784814,-84.34567
53000084,CC,663,2019,35.695338,-84.346045
53000085,CC,528,2019,35.69645,-84.415307
53000086,CC,1727,2019,35.637562,-84.521991
53000087,CC,6521,2019,35.690044,-84.301181
53000088,CC,3560,2019,35.792058,-84.260891
53000089,CC,1745,2019,35.783494,-84.282431
53000090,CC,1127,2019,35.792545,-84.27825
53000091,CC,7824,2019,35.804449,-84.292315
53000092,CC,6731,2019,35.775666,-84.332157
53000093,CC,1626,2019,35.623582,-84.204261
53000094,CC,7404,2019,35.666656,-84.281167
53000097,CC,7321,2019,35.712555,-84.317941
53000098,CC,2361,2019,35.832922,-84.305255
53000100,CC,2455,2019,35.683525,-84.402075
53000101,CC,10324,2019,35.845408,-84.317755
53000102,CC,1161,2019,35.701756,-84.315019
53000103,CC,5294,2019,35.70777,-84.345041
53000104,CC,3153,2019,35.790426,-84.256018
53000105,CC,9979,2019,35.783453,-84.250195
53000106,CC,4636,2019,35.736489,-84.408326
53000108,CC,2369,2019,35.782152,-84.308224
53000109,CC,1400,2019,35.79339,-84.189143
53000110,CC,1372,2019,35.843994,-84.256138
53000111,CC,2226,2019,35.780954,-84.279576
53000112,CC,1141,2019,35.795228,-84.277266
53000113,CC,867,2019,35.791543,-84.274808
53000114,CC,469,2019,35.792522,-84.270425
53000115,CC,2751,2019,35.796621,-84.268821
53000117,CC,2718,2019,35.791685,-84.263687
53000118,CC,1747,2019,35.795222,-84.261792
53000119,CC,3117,2019,35.810639,-84.257702
53000120,CC,1002,2019,35.803457,-84.267123
53000121,CC,104518,2019,35.875049,-84.243759
53000122,CC,8894,2019,35.718165,-84.356847
53000124,CC,772,2019,35.691886,-84.230034
53000125,CC,468,2019,35.742483,-84.281808
